timestamp,source_ip,dest_ip,event_type,user,status,bytes,port
2024-01-15 14:02:01,203.0.113.42,10.0.0.1,login,admin,FAILED,0,22
2024-01-15 14:02:02,203.0.113.42,10.0.0.1,login,admin,FAILED,0,22
2024-01-15 14:02:03,203.0.113.42,10.0.0.1,login,admin,FAILED,0,22
2024-01-15 14:02:04,203.0.113.42,10.0.0.1,login,root,FAILED,0,22
2024-01-15 14:02:05,203.0.113.42,10.0.0.1,login,admin,FAILED,0,22
2024-01-15 14:02:06,203.0.113.42,10.0.0.1,login,admin,FAILED,0,22
2024-01-15 14:02:07,203.0.113.42,10.0.0.1,login,admin,SUCCESS,0,22
2024-01-15 14:05:00,10.0.0.5,192.168.1.1,http,webuser,200,524288,80
2024-01-15 02:30:00,10.0.0.99,10.0.0.1,login,john.doe,SUCCESS,0,22
2024-01-15 09:00:00,172.16.0.50,10.0.0.1,http,scanner,404,0,80
